,0
0,https://fa.wikipedia.org/wiki/%D8%A8%DB%8C%D9%88%D8%A7%D9%86%D9%81%D9%88%D8%B1%D9%85%D8%A7%D8%AA%DB%8C%DA%A9
1,https://fa.wikipedia.org/wiki/%DA%98%D9%86%E2%80%8C%DB%8C%D8%A7%D8%A8%DB%8C
2,https://fa.wikipedia.org/wiki/%D8%A2%D8%B1%D9%85_%D8%AA%D9%88%D8%A7%D9%84%DB%8C
3,https://fa.wikipedia.org/wiki/%D8%A2%D9%85%D8%A7%D8%B1_%D8%B2%DB%8C%D8%B3%D8%AA%DB%8C
4,https://fa.wikipedia.org/wiki/%D8%A2%D9%86%D8%A7%D9%84%DB%8C%D8%B2_%D8%AA%D8%B5%D8%A7%D9%88%DB%8C%D8%B1_%D8%B2%DB%8C%D8%B3%D8%AA%DB%8C
5,https://fa.wikipedia.org/wiki/%D8%A2%D9%86%D8%A7%D9%84%DB%8C%D8%B2_%D8%AF%D9%86%D8%A8%D8%A7%D9%84%D9%87
6,https://fa.wikipedia.org/wiki/%D8%A2%D9%86%D8%AA%D8%B1%D9%87
7,https://fa.wikipedia.org/wiki/%D8%A7%D9%BE%DB%8C%E2%80%8C%DA%98%D9%86%D8%AA%DB%8C%DA%A9_%D9%85%D8%AD%D8%A7%D8%B3%D8%A8%D8%A7%D8%AA%DB%8C
8,https://fa.wikipedia.org/wiki/%D8%A7%D8%AA%D8%B5%D8%A7%D9%84-%D9%87%D9%85%D8%B3%D8%A7%DB%8C%DA%AF%DB%8C
9,https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%D8%AA%D9%86%D8%A8%D8%A7%D8%B7_%D8%A8%DB%8C%D8%B2%DB%8C_%D8%AA%D8%A8%D8%A7%D8%B1%D8%B2%D8%A7%DB%8C%D8%B4
10,https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%D8%AA%D9%86%D8%A8%D8%A7%D8%B7_%D8%B4%D8%A8%DA%A9%D9%87%E2%80%8C%D9%87%D8%A7%DB%8C_%D8%B2%DB%8C%D8%B3%D8%AA%DB%8C
11,https://fa.wikipedia.org/wiki/%D8%A7%DA%A9%D8%B3%D9%BE%D8%B3%DB%8C
12,https://fa.wikipedia.org/wiki/%D8%A7%D9%84%DA%AF%D9%88%D8%B1%DB%8C%D8%AA%D9%85_%D9%87%DB%8C%D8%B1%D8%B4%D8%A8%D8%B1%DA%AF
13,https://fa.wikipedia.org/wiki/%D8%A7%D9%86%D9%81%D9%88%D8%B1%D9%85%D8%A7%D8%AA%DB%8C%DA%A9_%D8%AA%D8%B5%D9%88%DB%8C%D8%B1%DB%8C
14,https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%E2%80%8C%D8%A7%D9%85_%DA%86%D9%86%D8%AF%DA%AF%D8%A7%D9%86%D9%87_%D8%A8%D8%B1%D8%A7%DB%8C_%D8%A7%D8%B3%D8%AA%D8%AE%D8%B1%D8%A7%D8%AC_%D9%85%D9%88%D8%AA%DB%8C%D9%81
15,https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D9%85%D9%86%DB%8C%E2%80%8C%D8%B4%D9%86%D8%A7%D8%B3%DB%8C_%D9%85%D8%AD%D8%A7%D8%B3%D8%A8%D8%A7%D8%AA%DB%8C
16,https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%D9%BE%D8%B1%D9%88
17,https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%DA%A9%D8%AA%D9%88%D9%85
18,https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%D9%88%D9%86
19,https://fa.wikipedia.org/wiki/%D8%A8%D8%A7%D8%B2%D8%B3%D8%A7%D8%B2%DB%8C_%D8%AA%D9%88%D8%A7%D9%84%DB%8C
20,https://fa.wikipedia.org/wiki/%D8%A8%D8%A7%D9%86%DA%A9_%D8%AF%D8%A7%D8%AF%D9%87_%D9%BE%D8%B1%D9%88%D8%AA%D8%A6%DB%8C%D9%86
21,https://fa.wikipedia.org/wiki/%D8%A8%D8%A7%DB%8C%D9%88%D9%BE%D8%A7%DB%8C%D8%AA%D9%88%D9%86
22,https://fa.wikipedia.org/wiki/%D8%A8%D9%84%D8%A7%D8%AA_(%D8%A8%DB%8C%D9%88%D8%A7%D9%86%D9%81%D9%88%D8%B1%D9%85%D8%A7%D8%AA%DB%8C%DA%A9)
23,https://fa.wikipedia.org/wiki/%D8%A8%D9%84%D8%A7%D8%B3%D8%AA
24,https://fa.wikipedia.org/wiki/%D8%A8%D9%84%D9%88%D8%B3%D8%A7%D9%85
25,https://fa.wikipedia.org/wiki/%D8%A8%DB%8C%D8%A7%D9%86_%DA%98%D9%86
26,https://fa.wikipedia.org/wiki/%D8%A7%D9%84%DA%AF%D9%88:%D8%A8%DB%8C%D9%88%D8%A7%D9%86%D9%81%D9%88%D8%B1%D9%85%D8%A7%D8%AA%DB%8C%DA%A9
27,https://fa.wikipedia.org/wiki/%D8%A8%DB%8C%D9%88%D9%BE%D8%A7%D9%86%DA%A9
28,https://fa.wikipedia.org/wiki/%D8%A8%DB%8C%D9%88%D9%BE%D8%B1%D9%84
29,https://fa.wikipedia.org/wiki/%D9%BE%D8%A7%D8%A8%E2%80%8C%D9%85%D8%AF
30,https://fa.wikipedia.org/wiki/%D9%BE%D8%A7%DB%8C%DA%AF%D8%A7%D9%87_%D8%AF%D8%A7%D8%AF%D9%87_%D8%AA%D9%88%D8%A7%D9%84%DB%8C%E2%80%8C%D9%87%D8%A7
31,https://fa.wikipedia.org/wiki/%D9%BE%D8%B1%D9%88%D8%AA%D8%A6%D9%88%D9%85
32,https://fa.wikipedia.org/wiki/%D9%BE%D8%B1%D9%88%D8%AA%D8%A6%D9%88%D9%85%DB%8C%DA%A9%D8%B3
33,https://fa.wikipedia.org/wiki/%D9%BE%D8%B1%D9%88%DA%98%D9%87_%DB%B1%DB%B0%DB%B0%DB%B0_%DA%98%D9%86%D9%88%D9%85
34,https://fa.wikipedia.org/wiki/%D9%BE%D8%B1%D9%88%DA%98%D9%87_%D9%BE%D8%A7%DB%8C%DA%AF%D8%A7%D9%87_%D8%AF%D8%A7%D8%AF%D9%87_%DA%98%D9%86%D9%88%D9%85_%D8%A2%D9%86%D8%B3%D8%A7%D9%85%D8%A8%D9%84
35,https://fa.wikipedia.org/wiki/%D9%BE%D8%B1%D9%88%DA%98%D9%87_%DA%98%D9%86%D9%88%D9%85_%D8%A7%D9%86%D8%B3%D8%A7%D9%86
36,https://fa.wikipedia.org/wiki/%D9%BE%D8%B1%D9%88%DA%98%D9%87_%D9%85%DB%8C%DA%A9%D8%B1%D9%88%D8%A8%DB%8C%D9%88%D9%85_%D8%A7%D9%86%D8%B3%D8%A7%D9%86
37,https://fa.wikipedia.org/wiki/%D9%BE%D9%88%D8%B4%D8%B4_%D9%BE%DB%8C%D8%B4%D9%88%D9%86%D8%AF
38,https://fa.wikipedia.org/wiki/%D9%BE%DB%8C%D8%B4%E2%80%8C%D8%A8%DB%8C%D9%86%DB%8C_%D8%A8%D8%B1%D9%87%D9%85%E2%80%8C%DA%A9%D9%86%D8%B4_%D9%BE%D8%B1%D9%88%D8%AA%D8%A6%DB%8C%D9%86-%D9%BE%D8%B1%D9%88%D8%AA%D8%A6%DB%8C%D9%86
39,https://fa.wikipedia.org/wiki/%D9%BE%DB%8C%D8%B4%E2%80%8C%D8%A8%DB%8C%D9%86%DB%8C_%D8%B3%D8%A7%D8%AE%D8%AA%D8%A7%D8%B1_%D9%BE%D8%B1%D9%88%D8%AA%D8%A6%DB%8C%D9%86
40,https://fa.wikipedia.org/wiki/%D9%BE%DB%8C%D8%B4%E2%80%8C%D8%A8%DB%8C%D9%86%DB%8C_%D8%B9%D9%85%D9%84%DA%A9%D8%B1%D8%AF_%D9%BE%D8%B1%D9%88%D8%AA%D8%A6%DB%8C%D9%86
41,https://fa.wikipedia.org/wiki/%D8%AA%D8%A8%D8%A7%D8%B1%D8%B2%D8%A7%DB%8C%DB%8C_%D9%85%D9%88%D9%84%DA%A9%D9%88%D9%84%DB%8C
42,https://fa.wikipedia.org/wiki/%D8%AA%D8%AD%D9%84%DB%8C%D9%84_%DA%AF%D8%B1%D8%A7%D9%81_%D8%AA%D9%88%D8%A7%D9%86%DB%8C
43,https://fa.wikipedia.org/wiki/%D8%AA%D8%B9%D8%A7%D9%85%D9%84_%D9%BE%D8%B1%D9%88%D8%AA%D8%A6%DB%8C%D9%86-%D9%BE%D8%B1%D9%88%D8%AA%D8%A6%DB%8C%D9%86
44,https://fa.wikipedia.org/wiki/%D8%AA%D9%88%D8%A7%D9%84%DB%8C_%D8%A7%D8%AC%D9%85%D8%A7%D8%B9
45,https://fa.wikipedia.org/wiki/%D8%AA%D9%88%D8%A7%D9%84%DB%8C%E2%80%8C%DB%8C%D8%A7%D8%A8%DB%8C_%D8%A2%D8%B1%D8%A7%D9%86%E2%80%8C%D8%A7%DB%8C
46,https://fa.wikipedia.org/wiki/%D8%AA%D9%88%D8%A7%D9%84%DB%8C%E2%80%8C%DB%8C%D8%A7%D8%A8%DB%8C_%D8%B4%D8%A7%D8%AA%DA%AF%D8%A7%D9%86
47,https://fa.wikipedia.org/wiki/%D8%AA%D9%88%D8%A7%D9%84%DB%8C%E2%80%8C%DB%8C%D8%A7%D8%A8%DB%8C_%DA%A9%D9%84_%DA%98%D9%86%D9%88%D9%85
48,https://fa.wikipedia.org/wiki/%D8%AA%D9%88%D9%BE%D9%88%D9%86%D9%88%D9%85
49,https://fa.wikipedia.org/wiki/%D8%AA%DB%8C-%DA%A9%D8%A7%D9%81%DB%8C
50,https://fa.wikipedia.org/wiki/%D8%AC%D8%B1%DB%8C%D9%85%D9%87_%D9%BE%D8%B1%D8%B4
51,https://fa.wikipedia.org/wiki/%D8%AC%D8%B3%D8%AA%D8%AC%D9%88%DB%8C_%D9%85%D9%88%D8%AA%DB%8C%D9%81_%DA%A9%D8%A7%D8%B4%D8%AA%D9%87%E2%80%8C%D8%B4%D8%AF%D9%87
52,https://fa.wikipedia.org/wiki/%D8%AC%D8%B3%D8%AA%D8%AC%D9%88%DB%8C_%D9%85%D9%88%D8%AA%DB%8C%D9%81_%DA%AF%D9%85%D8%A7%D8%B4%D8%AA%D9%87%E2%80%8C%D8%B4%D8%AF%D9%87
53,https://fa.wikipedia.org/wiki/%D8%AC%D9%81%D8%AA%E2%80%8C%D8%A8%D8%A7%D8%B2
54,https://fa.wikipedia.org/wiki/%D8%AC%D9%87%D8%B4_%D9%BE%D8%B0%DB%8C%D8%B1%D9%81%D8%AA%D9%87_%D9%86%D9%82%D8%B7%D9%87%E2%80%8C%D8%A7%DB%8C
55,https://fa.wikipedia.org/wiki/%DA%86%D8%A7%D8%B1%DA%86%D9%88%D8%A8_%D8%AE%D9%88%D8%A7%D9%86%D8%B4_%D8%A8%D8%A7%D8%B2
56,https://fa.wikipedia.org/wiki/%D8%AD%D8%A7%D8%B4%DB%8C%D9%87%E2%80%8C%D9%86%D9%88%DB%8C%D8%B3%DB%8C_%D8%A7%D8%B3%D9%86%DB%8C%D9%BE
57,https://fa.wikipedia.org/wiki/%D8%AD%D8%B3%D8%A7%D8%B3%DB%8C%D8%AA_%D9%88_%D9%88%DB%8C%DA%98%DA%AF%DB%8C
58,https://fa.wikipedia.org/wiki/%D8%AE%D8%A7%D9%86%D9%88%D8%A7%D8%AF%D9%87_%D9%BE%D8%B1%D9%88%D8%AA%D8%A6%DB%8C%D9%86
59,https://fa.wikipedia.org/wiki/%D8%AE%D8%B7%D8%A7%DB%8C_%D8%AE%D9%88%D8%A7%D9%86%D8%B4_%D8%AF%DB%8C%E2%80%8C%D8%A7%D9%86%E2%80%8C%D8%A7%DB%8C
60,https://fa.wikipedia.org/wiki/%D8%AF%D8%A7%D8%AF%DA%AF%D8%A7%D9%86_%D8%A8%DB%8C%D9%85%D8%A7%D8%B1%DB%8C%E2%80%8C%D9%87%D8%A7
61,https://fa.wikipedia.org/wiki/%D8%AF%D8%A7%DA%A9%DB%8C%D9%86%DA%AF_(%D9%85%D8%AF%D9%84%E2%80%8C%D8%B3%D8%A7%D8%B2%DB%8C)
62,https://fa.wikipedia.org/wiki/%D8%AF%D8%A7%DA%A9%DB%8C%D9%86%DA%AF_%D9%85%D8%A7%DA%A9%D8%B1%D9%88%D9%85%D9%88%D9%84%DA%A9%D9%88%D9%84%DB%8C
63,https://fa.wikipedia.org/wiki/%D8%AF%D9%82%D8%AA_%D9%88_%D8%A8%D8%A7%D8%B2%DB%8C%D8%A7%D8%A8%DB%8C
64,https://fa.wikipedia.org/wiki/%D8%AF%D9%86%D8%A8%D8%A7%D9%84%D9%87_%DA%AF%D8%B1%D8%A7%D9%81%DB%8C
65,https://fa.wikipedia.org/wiki/%D8%AF%D9%86%D8%A8%D8%A7%D9%84%D9%87_%D9%85%D9%88%D8%AA%DB%8C%D9%81
66,https://fa.wikipedia.org/wiki/%D8%AF%D9%86%D8%A8%D8%A7%D9%84%D9%87%E2%80%8C%DA%A9%D8%A7%D9%88%DB%8C
67,https://fa.wikipedia.org/wiki/%D8%AF%DB%8C%D8%AF%D8%A7%D8%B1%DB%8C%E2%80%8C%D8%B3%D8%A7%D8%B2%DB%8C_%D8%AF%D8%A7%D8%AF%D9%87_%D8%B2%DB%8C%D8%B3%D8%AA%DB%8C
68,https://fa.wikipedia.org/wiki/%D8%B1%D8%B3%D9%85_%D9%86%D9%82%D8%B7%D9%87%E2%80%8C%D8%A7%DB%8C
69,https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B4_%D8%AC%D9%81%D8%AA_%DA%AF%D8%B1%D9%88%D9%87_%D8%A8%D8%AF%D9%88%D9%86_%D9%88%D8%B2%D9%86_%D8%A8%D8%A7_%D9%85%DB%8C%D8%A7%D9%86%DA%AF%DB%8C%D9%86_%D8%AD%D8%B3%D8%A7%D8%A8%DB%8C
70,https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B4_%DA%86%D9%88-%D9%81%D8%B3%D9%85%D9%86
71,https://fa.wikipedia.org/wiki/%D8%B1%DB%8C%D8%B2%D8%A2%D8%B1%D8%A7%DB%8C%D9%87_%D8%AF%DB%8C%E2%80%8C%D8%A7%D9%86%E2%80%8C%D8%A7%DB%8C
72,https://fa.wikipedia.org/wiki/%D8%B2%D9%86%D9%88%D8%A8%DB%8C%D9%88%D9%84%D9%88%DA%98%DB%8C
73,https://fa.wikipedia.org/wiki/%D8%B2%DB%8C%D8%B3%D8%AA%E2%80%8C%D8%AA%D8%B1%D8%A7%D8%B4%D9%87
74,https://fa.wikipedia.org/wiki/%D8%B2%DB%8C%D8%B3%D8%AA%E2%80%8C%D8%AA%D9%82%D9%84%DB%8C%D8%AF
75,https://fa.wikipedia.org/wiki/%D8%B2%DB%8C%D8%B3%D8%AA%E2%80%8C%D8%B1%D8%A7%DB%8C%D8%A7%D9%86%D9%87
